Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
LOZJER,2015,1.209,0.395098,792.31,0.302,4.51,5.78,1.281596452,1D,[1.2-1.3),[0.3-0.4),[600-800),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.2-1.3)
YUPFEW,2015,1.276,0.250787,376.74,0.152,4.52,6.96,1.539823009,1D,[1.2-1.3),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[6.5-7.0),[1.5-1.6)
HOQMIL04,2015,1.14,0.429287,543,0.281,4.52,5.58,1.234513274,2D,[1.1-1.2),[0.4-0.5),[500-600),[0.2-0.3),[4.5-5.0),[5.3-5.6),[1.2-1.3)
NANYUX03,2015,1.041,0.586516,1158.96,0.498,4.53,5.34,1.178807947,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[4.5-5.0),[5.3-5.6),[1.1-1.2)
KUKHIJ,2015,1.159,0.407742,540.23,0.277,4.53,5.66,1.249448124,1D,[1.1-1.2),[0.4-0.5),[500-600),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3)
NUJWEW,2015,0.819,0.513864,1603.35,0.678,4.54,5.24,1.154185022,2D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[4.5-5.0),[5.0-5.3),[1.1-1.2)
YOTYAJ,2015,1.057,0.61724,1168.56,0.491,4.56,5.38,1.179824561,1D,[1.0-1.1),[0.6-0.7),[1000-1250),[0.4-0.5),[4.5-5.0),[5.3-5.6),[1.1-1.2)
CUPWOB,2015,1.403,0.294303,305.61,0.168,4.57,5.28,1.15536105,1D,[1.4-1.5),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[5.0-5.3),[1.1-1.2)
IHAFUU,2015,1.556,0.482622,772.94,0.277,4.57,6.09,1.332603939,1D,[1.5-1.6),[0.4-0.5),[600-800),[0.2-0.3),[4.5-5.0),[6.0-6.5),[1.3-1.4)
SULVOM,2015,1.86,0.496265,607.22,0.258,4.57,5.65,1.236323851,1D,[1.8-2.0),[0.4-0.5),[600-800),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3)
YOZGUR,2015,0.631,0.689012,2648.25,0.984,4.6,7.08,1.539130435,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.5-5.0),[7.0-8.0),[1.5-1.6)
YOYQEK,2015,1.125,0.385919,370.06,0.258,4.61,6.15,1.334056399,1D,[1.1-1.2),[0.3-0.4),[300-400),[0.2-0.3),[4.5-5.0),[6.0-6.5),[1.3-1.4)
XUDYEC,2015,1.365,0.327312,378.55,0.189,4.65,6.11,1.313978495,1D,[1.3-1.4),[0.3-0.4),[300-400),[0.1-0.2),[4.5-5.0),[6.0-6.5),[1.3-1.4)
DUJPUV,2015,0.713,0.65183,1686.15,0.812,4.67,5.9,1.263383298,2D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.8-1.0),[4.5-5.0),[5.6-6.0),[1.2-1.3)
BUBWEC,2015,1.198,0.486645,1029.19,0.399,4.68,5.52,1.179487179,2D,[1.1-1.2),[0.4-0.5),[1000-1250),[0.3-0.4),[4.5-5.0),[5.3-5.6),[1.1-1.2)
JUSKIT,2015,1.401,0.217564,291.93,0.126,4.69,5.2,1.108742004,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[5.0-5.3),[1.1-1.2)
UGIDUL,2015,0.959,0.553456,1098.08,0.51,4.71,5.95,1.263269639,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[4.5-5.0),[5.6-6.0),[1.2-1.3)
MUJYUN,2015,1.284,0.27126,376.17,0.169,4.71,5.75,1.220806794,1D,[1.2-1.3),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[5.6-6.0),[1.2-1.3)
XUFZIJ,2015,1.295,0.25245,341.75,0.16,4.71,5.67,1.203821656,1D,[1.2-1.3),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[5.6-6.0),[1.2-1.3)
JUHYOC,2015,0.736,0.704022,2288.02,0.819,4.75,7.92,1.667368421,3D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[4.5-5.0),[7.0-8.0),[1.6-1.8)
UHOMEL,2015,1.34,0.230134,251.06,0.119,4.79,5.65,1.17954071,1D,[1.3-1.4),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[5.6-6.0),[1.1-1.2)
VUHNET,2015,1.269,0.573832,1040.89,0.407,4.8,9.91,2.064583333,2D,[1.2-1.3),[0.5-0.6),[1000-1250),[0.4-0.5),[4.5-5.0),[8.0-10.0),[2.0-2.5)
VOXZAL,2015,0.984,0.583055,1329.79,0.616,4.8,5.66,1.179166667,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.6-0.8),[4.5-5.0),[5.6-6.0),[1.1-1.2)
MURFIQ,2015,1.123,0.247494,335.47,0.167,4.8,6.79,1.414583333,1D,[1.1-1.2),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[6.5-7.0),[1.4-1.5)
SUMZIL,2015,1.512,0.560565,1252.65,0.392,4.81,8.2,1.704781705,2D,[1.5-1.6),[0.5-0.6),[1250-1500),[0.3-0.4),[4.5-5.0),[8.0-10.0),[1.6-1.8)
XIBYEM01,2015,0.634,0.652809,2605.15,0.924,4.87,7.36,1.511293634,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.5-5.0),[7.0-8.0),[1.5-1.6)
BOZFAZ,2015,1.095,0.495167,713.2,0.355,4.87,6.41,1.316221766,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[4.5-5.0),[6.0-6.5),[1.3-1.4)
COYMUA,2015,0.98,0.472247,1019.7,0.39,4.88,6.17,1.264344262,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.3-0.4),[4.5-5.0),[6.0-6.5),[1.2-1.3)
DUJQIK,2015,0.973,0.444374,890.81,0.375,4.9,5.72,1.167346939,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.1-1.2)
YOYSOW,2015,1.435,0.604663,1082.62,0.393,4.93,6.49,1.31643002,1D,[1.4-1.5),[0.6-0.7),[1000-1250),[0.3-0.4),[4.5-5.0),[6.0-6.5),[1.3-1.4)
FUMJAA,2015,1.193,0.58853,966.2,0.432,4.94,5.96,1.206477733,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
XUJRUR,2015,0.925,0.564431,1663.18,0.553,4.97,8.89,1.788732394,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[4.5-5.0),[8.0-10.0),[1.6-1.8)
JUMSOB,2015,1.179,0.333876,525.48,0.23,4.97,6,1.207243461,1D,[1.1-1.2),[0.3-0.4),[500-600),[0.2-0.3),[4.5-5.0),[6.0-6.5),[1.2-1.3)
JOFKIA01,2015,1.74,0.290358,305.48,0.146,4.98,6.3,1.265060241,1D,[1.6-1.8),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[6.0-6.5),[1.2-1.3)
PAFNOC,2015,1.182,0.367933,576.71,0.229,4.99,6.39,1.280561122,1D,[1.1-1.2),[0.3-0.4),[500-600),[0.2-0.3),[4.5-5.0),[6.0-6.5),[1.2-1.3)
NUDLOP01,2015,1.195,0.464581,699.28,0.317,4.99,6.08,1.218436874,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[4.5-5.0),[6.0-6.5),[1.2-1.3)
WUZRAM,2015,1.073,0.445786,869.89,0.361,4.99,5.76,1.154308617,1D,[1.0-1.1),[0.4-0.5),[800-1000),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.1-1.2)
OMEYIP01,2015,1.058,0.470152,1013.4,0.356,5.01,6.05,1.20758483,1D,[1.0-1.1),[0.4-0.5),[1000-1250),[0.3-0.4),[5.0-6.0),[6.0-6.5),[1.2-1.3)
ZUBKEO,2015,1.384,0.465254,510.97,0.258,5.01,5.78,1.153692615,1D,[1.3-1.4),[0.4-0.5),[500-600),[0.2-0.3),[5.0-6.0),[5.6-6.0),[1.1-1.2)
CUTTOC,2015,1.099,0.490017,1760.14,0.439,5.03,5.69,1.131212724,1D,[1.0-1.1),[0.4-0.5),[1500-2000),[0.4-0.5),[5.0-6.0),[5.6-6.0),[1.1-1.2)
VOYGOH,2015,1.455,0.592955,1241.29,0.419,5.04,7.62,1.511904762,2D,[1.4-1.5),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[7.0-8.0),[1.5-1.6)
WOQCUB02,2015,0.87,0.483882,1836.6,0.506,5.04,6.46,1.281746032,2D,[0.8-1.0),[0.4-0.5),[1500-2000),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.2-1.3)
DOYBEA,2015,1.059,0.623691,897.16,0.424,5.06,5.67,1.12055336,1D,[1.0-1.1),[0.6-0.7),[800-1000),[0.4-0.5),[5.0-6.0),[5.6-6.0),[1.1-1.2)
JUNBUR,2015,1.192,0.589151,976.9,0.434,5.06,6.24,1.233201581,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.2-1.3)
PARKUQ01,2015,1.171,0.634281,1044.48,0.468,5.08,6.6,1.299212598,1D,[1.1-1.2),[0.6-0.7),[1000-1250),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
DUHPIH,2015,0.988,0.491533,945.05,0.396,5.09,7.09,1.392927308,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.3-1.4)
FUFVEJ,2015,0.593,0.781681,3545.27,1.138,5.11,6.54,1.279843444,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
GUWGUC,2015,0.564,0.731385,3998.05,1.179,5.11,7.47,1.46183953,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.4-1.5)
NUDLOP,2015,1.193,0.473487,737.62,0.324,5.11,6.1,1.193737769,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[5.0-6.0),[6.0-6.5),[1.1-1.2)
DUMFAU,2015,0.724,0.610777,1681.71,0.736,5.13,6.57,1.280701754,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
QUJJIQ,2015,1.13,0.657614,1545.38,0.562,5.14,6.68,1.299610895,1D,[1.1-1.2),[0.6-0.7),[1500-2000),[0.5-0.6),[5.0-6.0),[6.5-7.0),[1.2-1.3)
XUDYOM,2015,1.632,0.507915,377.13,0.239,5.17,5.79,1.119922631,1D,[1.6-1.8),[0.5-0.6),[300-400),[0.2-0.3),[5.0-6.0),[5.6-6.0),[1.1-1.2)
BUWFOQ,2015,0.647,0.638237,3308.95,0.926,5.19,6.19,1.192678227,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[0.8-1.0),[5.0-6.0),[6.0-6.5),[1.1-1.2)
MUNKUD,2015,1.146,0.434786,1082.13,0.323,5.2,5.72,1.1,1D,[1.1-1.2),[0.4-0.5),[1000-1250),[0.3-0.4),[5.0-6.0),[5.6-6.0),[1.0-1.1)
WUZGEF,2015,0.818,0.633944,1952.48,0.679,5.24,8.84,1.687022901,3D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[8.0-10.0),[1.6-1.8)
BUSNOU,2015,1.089,0.549852,885.53,0.398,5.28,7.35,1.392045455,2D,[1.0-1.1),[0.5-0.6),[800-1000),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.3-1.4)
DUHPUT,2015,0.973,0.48197,925.07,0.399,5.31,6.63,1.248587571,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.2-1.3)
WUYWIY,2015,0.794,0.655292,2082.58,0.72,5.33,8.8,1.651031895,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[8.0-10.0),[1.6-1.8)
NUDLIJ,2015,1.141,0.509596,878.89,0.362,5.33,6.83,1.281425891,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.2-1.3)
PUHLIP,2015,1.91,0.265934,268.28,0.119,5.34,6.93,1.297752809,1D,[1.8-2.0),[0.2-0.3),[200-300),[0.1-0.2),[5.0-6.0),[6.5-7.0),[1.2-1.3)
YEPSOC03,2015,0.902,0.476025,1045.32,0.429,5.35,6.86,1.282242991,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
LUQHEM,2015,0.772,0.569683,2165.06,0.689,5.35,7.82,1.461682243,3D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.4-1.5)
IGUKAY,2015,0.765,0.568153,1807.68,0.687,5.37,6.96,1.296089385,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
WUZQOZ,2015,1.009,0.515244,1109.07,0.463,5.39,6.65,1.233766234,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
JUMDAY,2015,1.065,0.58081,1164.15,0.45,5.42,5.9,1.088560886,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[5.6-6.0),[1.0-1.1)
NUVXOT,2015,0.884,0.70242,2153.82,0.744,5.45,9.09,1.667889908,3D,[0.8-1.0),[0.7-0.8),[2000-3000),[0.6-0.8),[5.0-6.0),[8.0-10.0),[1.6-1.8)
MUPTIC,2015,0.833,0.583263,1598,0.656,5.46,7.39,1.353479853,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
UHIYER,2015,0.739,0.694811,3684.1,0.975,5.51,7.15,1.297640653,2D,[0.6-0.8),[0.6-0.7),[3000-10250],[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.2-1.3)
EQICAK05,2015,0.718,0.677986,3637.95,1.026,5.52,7.36,1.333333333,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.3-1.4)
EQICAK03,2015,0.716,0.677522,3644.39,1.026,5.53,7.37,1.332730561,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.3-1.4)
EQICAK06,2015,0.71,0.682661,3710.1,1.044,5.54,7.38,1.332129964,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.3-1.4)
WUKWAC,2015,1.038,0.668842,1997.6,0.644,5.55,6.1,1.099099099,2D,[1.0-1.1),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.0-1.1)
YOTDUI,2015,0.877,0.589854,1534.52,0.598,5.55,7.51,1.353153153,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.3-1.4)
KUTCUZ,2015,1.144,0.369406,673.49,0.255,5.57,7.76,1.393177738,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.3-1.4)
VOZVAJ01,2015,1.411,0.501562,731.02,0.316,5.57,7.42,1.332136445,1D,[1.4-1.5),[0.5-0.6),[600-800),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.3-1.4)
DUBKAO,2015,1.106,0.465254,669,0.33,5.58,7.06,1.265232975,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.2-1.3)
MUPTEY,2015,0.833,0.577644,1613.3,0.655,5.6,7.37,1.316071429,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
FUFBEP,2015,0.85,0.581847,2145.3,0.607,5.6,6.4,1.142857143,1D,[0.8-1.0),[0.5-0.6),[2000-3000),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.1-1.2)
CPYZCO04,2015,0.878,0.565903,1765.41,0.605,5.63,6.64,1.179396092,2D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.1-1.2)
XUMKUN,2015,0.74,0.663894,2233.18,0.822,5.64,7.85,1.391843972,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4)
VUJVAZ,2015,0.838,0.600607,1969.69,0.673,5.66,6.34,1.120141343,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.1-1.2)
KUTDAG,2015,1.137,0.399194,672.34,0.281,5.66,7.65,1.351590106,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.3-1.4)
WUZGEF01,2015,0.817,0.644832,1948.42,0.684,5.68,8.75,1.540492958,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[8.0-10.0),[1.5-1.6)
JUHMOQ,2015,1.443,0.323112,554.02,0.216,5.69,7.58,1.332161687,2D,[1.4-1.5),[0.3-0.4),[500-600),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.3-1.4)
MUGHED,2015,1.44,0.508669,683.05,0.283,5.69,6.79,1.193321617,1D,[1.4-1.5),[0.5-0.6),[600-800),[0.2-0.3),[5.0-6.0),[6.5-7.0),[1.1-1.2)
WUDNUG,2015,0.883,0.562265,2052.28,0.6,5.72,6.98,1.22027972,1D,[0.8-1.0),[0.5-0.6),[2000-3000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
DUHQII01,2015,0.493,0.789656,5388.18,1.471,5.74,7.65,1.332752613,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.3-1.4)
EQICAK04,2015,0.699,0.692126,4010.08,1.066,5.74,7.17,1.24912892,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
DUBJUH,2015,1.093,0.473103,697.76,0.341,5.78,7.13,1.233564014,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.2-1.3)
KUMFOP,2015,0.713,0.678491,2439.06,0.899,5.8,7.52,1.296551724,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.2-1.3)
KURHOW,2015,0.423,0.734699,6152,1.831,5.82,7.1,1.219931271,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[5.0-6.0),[7.0-8.0),[1.2-1.3)
FUTZAX,2015,0.956,0.645921,1447.62,0.601,5.83,6.47,1.109777015,1D,[0.8-1.0),[0.6-0.7),[1250-1500),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.1-1.2)
HOYLIS,2015,1.351,0.582497,1471.41,0.396,5.83,6.47,1.109777015,1D,[1.3-1.4),[0.5-0.6),[1250-1500),[0.3-0.4),[5.0-6.0),[6.0-6.5),[1.1-1.2)
QOWKOE,2015,0.836,0.631905,2083.61,0.743,5.83,8.24,1.413379074,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[8.0-10.0),[1.4-1.5)
WUZQUF,2015,0.963,0.508617,1162.82,0.472,5.84,6.61,1.131849315,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.1-1.2)
OHAYON,2015,0.837,0.703553,2558.75,0.786,5.84,7.38,1.26369863,1D,[0.8-1.0),[0.7-0.8),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3)
AHOZII,2015,0.951,0.530862,943.13,0.483,5.85,6.89,1.177777778,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.1-1.2)
NUCBIY,2015,0.593,0.725245,3252.52,1.084,5.86,7.51,1.281569966,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
JUMCUR,2015,1.032,0.604417,1245.44,0.486,5.88,6.46,1.098639456,1D,[1.0-1.1),[0.6-0.7),[1000-1250),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.0-1.1)
JUMDEC,2015,1.036,0.608973,1266.24,0.491,5.9,6.43,1.089830508,1D,[1.0-1.1),[0.6-0.7),[1250-1500),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.0-1.1)
XUGGUD,2015,0.898,0.502763,1282.6,0.468,5.98,7.13,1.192307692,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.4-0.5),[5.0-6.0),[7.0-8.0),[1.1-1.2)
VOVKUO,2015,3.169,0.340541,267.36,0.109,5.98,7.38,1.234113712,1D,[2.0-7.0],[0.3-0.4),[200-300),[0.1-0.2),[5.0-6.0),[7.0-8.0),[1.2-1.3)
WULLEW,2015,1.523,0.480358,794.52,0.272,5.98,9.05,1.513377926,1D,[1.5-1.6),[0.4-0.5),[600-800),[0.2-0.3),[5.0-6.0),[8.0-10.0),[1.5-1.6)
HUCVAE,2015,0.917,0.527497,1482.07,0.513,6,7.49,1.248333333,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.2-1.3)
VORSEC,2015,1.794,0.186392,211.77,0.086,6.01,6.87,1.143094842,1D,[1.6-1.8),[0.1-0.2),[200-300),[0.0-0.1),[6.0-8.0),[6.5-7.0),[1.1-1.2)
IGAWAQ,2015,1.527,0.530097,1131.56,0.335,6.02,6.37,1.058139535,1D,[1.5-1.6),[0.5-0.6),[1000-1250),[0.3-0.4),[6.0-8.0),[6.0-6.5),[1.0-1.1)
FUTZOL,2015,0.891,0.622766,1341.72,0.643,6.06,9.16,1.511551155,1D,[0.8-1.0),[0.6-0.7),[1250-1500),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.5-1.6)
PUZLAZ,2015,1.05,0.710352,1421.45,0.554,6.08,6.62,1.088815789,1D,[1.0-1.1),[0.7-0.8),[1250-1500),[0.5-0.6),[6.0-8.0),[6.5-7.0),[1.0-1.1)
KUYGOC,2015,0.892,0.650735,1900.26,0.619,6.1,7.92,1.298360656,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.2-1.3)
DUHQII,2015,0.452,0.797448,6107.6,1.651,6.14,8.18,1.332247557,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
VUDPIV,2015,0.772,0.674684,2061.57,0.771,6.15,6.83,1.110569106,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[6.0-8.0),[6.5-7.0),[1.1-1.2)
JUMLEK,2015,1.093,0.386184,798.87,0.283,6.15,6.76,1.099186992,1D,[1.0-1.1),[0.3-0.4),[600-800),[0.2-0.3),[6.0-8.0),[6.5-7.0),[1.0-1.1)
NETYIV01,2015,0.782,0.645054,2058.69,0.71,6.19,7.83,1.264943457,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.2-1.3)
WUYYIA,2015,0.896,0.628063,1796.82,0.612,6.2,8.91,1.437096774,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.4-1.5)
VOYHEY,2015,1.513,0.54149,1140.94,0.37,6.21,7.57,1.21900161,1D,[1.5-1.6),[0.5-0.6),[1000-1250),[0.3-0.4),[6.0-8.0),[7.0-8.0),[1.2-1.3)
IGAVUJ,2015,1.463,0.556576,1327.71,0.362,6.24,6.62,1.060897436,1D,[1.4-1.5),[0.5-0.6),[1250-1500),[0.3-0.4),[6.0-8.0),[6.5-7.0),[1.0-1.1)
HURBED,2015,1.389,0.550752,1321.98,0.396,6.3,7.51,1.192063492,1D,[1.3-1.4),[0.5-0.6),[1250-1500),[0.3-0.4),[6.0-8.0),[7.0-8.0),[1.1-1.2)
RUQFAM,2015,0.792,0.606075,2232.26,0.687,6.31,7.79,1.234548336,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.2-1.3)
SUPZUA,2015,0.752,0.670705,2143.93,0.798,6.31,8.99,1.424722662,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.4-1.5)
GUYGAK,2015,0.807,0.548345,1577.85,0.588,6.34,7.82,1.233438486,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.2-1.3)
NUCBOE,2015,0.741,0.620425,1964.09,0.703,6.39,9.03,1.41314554,3D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.4-1.5)
DOTSOV43,2015,0.886,0.750143,1886.87,0.767,6.42,12.83,1.998442368,3D,[0.8-1.0),[0.7-0.8),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-72.0],[1.8-2.0)
XUDPIX,2015,0.558,0.794352,4149.58,1.285,6.45,11.12,1.724031008,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-72.0],[1.6-1.8)
NUCWAL,2015,0.668,0.590957,2796.04,0.809,6.48,7.4,1.141975309,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.1-1.2)
GUGQAC,2015,0.975,0.565163,1790.37,0.557,6.53,7.31,1.119448698,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.1-1.2)
FUXCEI,2015,0.518,0.824572,4872.63,1.53,6.62,8.89,1.342900302,2D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.5-2.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
QUJJOW,2015,0.77,0.712899,2456.47,0.891,6.63,8.78,1.32428356,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
KUNTAQ02,2015,0.963,0.64905,1254.41,0.508,6.66,7.25,1.088588589,1D,[0.8-1.0),[0.6-0.7),[1250-1500),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1)
PUPMAQ,2015,0.961,0.562083,1575.08,0.569,6.66,7.69,1.154654655,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.1-1.2)
BADYAJ,2015,0.984,0.630205,1623.44,0.547,6.69,8.31,1.242152466,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.2-1.3)
